"idD" "idV" "idCNeigh" "distance" "idSectorCN"
"779" "St.Fs.55.06_28_2018" 787 779 38.7784948804859 "c5.l54"
"792" "St.Fs.55.06_28_2018" 787 792 35.5436945335025 "c8.l54"
"793" "St.Fs.55.06_28_2018" 787 793 38.1796073439401 "c5.l54"
"8021" "St.Fs.55.06_28_2018" 787 802 44.8827655138624 "c5.l55"
"809" "St.Fs.55.06_28_2018" 787 809 47.1057311736839 "c7.l55"
"8111" "St.Fs.55.06_28_2018" 787 811 51.2407789614339 "c6.l56"
"732" "St.Fs.55.06_28_2018" 747 732 18.6434921945898 "c2.l52"
"735" "St.Fs.55.06_28_2018" 747 735 25.1573235313599 "c2.l52"
"738" "St.Fs.55.06_28_2018" 747 738 19.8810643080592 "c1.l52"
"746" "St.Fs.55.06_28_2018" 747 746 20.5816454969134 "c3.l52"
"754" "St.Fs.55.06_28_2018" 747 754 23.7964982692223 "c1.l53"
"755" "St.Fs.55.06_28_2018" 747 755 17.973150581869 "c2.l53"
"761" "St.Fs.55.06_28_2018" 747 761 23.2956243622282 "c1.l53"
"765" "St.Fs.55.06_28_2018" 747 765 24.3268797108469 "c2.l53"
"767" "St.Fs.55.06_28_2018" 747 767 26.8620357426079 "c2.l53"
"683" "St.Fs.55.06_28_2018" 713 683 74.9517924499642 "c8.l47"
"692" "St.Fs.55.06_28_2018" 713 692 64.2539994701921 "c8.l47"
"697" "St.Fs.55.06_28_2018" 713 697 56.6755520623332 "c7.l48"
"706" "St.Fs.55.06_28_2018" 713 706 41.4719558652938 "c7.l49"
"710" "St.Fs.55.06_28_2018" 713 710 56.7708941625429 "c6.l50"
"720" "St.Fs.55.06_28_2018" 713 720 39.4324981274036 "c7.l51"
"731" "St.Fs.55.06_28_2018" 713 731 45.363978238061 "c7.l51"
"733" "St.Fs.55.06_28_2018" 713 733 45.375889824804 "c8.l51"
"703" "St.Fs.55.06_28_2018" 711 703 38.9369060808291 "c2.l49"
"705" "St.Fs.55.06_28_2018" 711 705 40.6922234946457 "c3.l49"
"707" "St.Fs.55.06_28_2018" 711 707 29.7990829609089 "c2.l49"
"709" "St.Fs.55.06_28_2018" 711 709 30.0340187129992 "c1.l50"
"712" "St.Fs.55.06_28_2018" 711 712 26.8552680554654 "c4.l50"
"714" "St.Fs.55.06_28_2018" 711 714 25.4771439972412 "c1.l50"
"716" "St.Fs.55.06_28_2018" 711 716 36.2838978894873 "c4.l51"
"717" "St.Fs.55.06_28_2018" 711 717 25.0022758165496 "c2.l51"
"719" "St.Fs.55.06_28_2018" 711 719 35.7961831497133 "c3.l51"
"721" "St.Fs.55.06_28_2018" 711 721 33.2783741720377 "c2.l51"
"694" "St.Fs.55.06_28_2018" 710 694 54.3012701979905 "c5.l48"
"702" "St.Fs.55.06_28_2018" 710 702 50.0152913453082 "c4.l49"
"7061" "St.Fs.55.06_28_2018" 710 706 43.8213575547735 "c7.l49"
"7121" "St.Fs.55.06_28_2018" 710 712 35.166508463661 "c4.l50"
"713" "St.Fs.55.06_28_2018" 710 713 56.7708941625429 "c8.l50"
"7161" "St.Fs.55.06_28_2018" 710 716 40.7404070835676 "c4.l51"
