"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "cell" "nbcell"
"54" "c10.l23" 23 10 "Lz.Fa.73.06_19_18" 440 324 887.798 926.668 51.7275918040475 507.978640421978 905.7635 905.7635 44.7275918040475 514.978640421978 470.251048617931 490.123065146502 471.285333426644 309.967578269426 303.966043352832 306.966810811129 887.798 926.668 907.233 342.756811327727 335.495032159075 339.125921743401 887.439 926.338 906.8885 1 0 NA 1 4
"55" "c10.l24" 24 10 "Lz.Fa.73.06_19_18" 474 347 926.668 965.539 51.1935675680661 504.024350789187 937.617317850063 937.617317850063 44.1935675680661 511.024350789187 466.830783221121 471.285333426644 467.288386104176 303.966043352832 301.762925988688 302.86448467076 926.668 965.539 946.1035 335.495032159075 333.024519019057 334.259775589066 926.338 965.238 945.788 1 0 NA 1 6
"56" "c10.l25" 25 10 "Lz.Fa.73.06_19_18" 536 443 965.539 1004.41 55.682469785244 496.649403527316 992.978745522086 992.978745522086 48.682469785244 503.649403527316 454.966933742072 467.288386104176 455.390645927936 301.762925988688 299.693793820722 300.728359904705 965.539 1004.41 984.9745 333.024519019057 330.159428033301 331.591973526179 965.238 1004.138 984.688 1 0 NA 1 3
"57" "c10.l26" 26 10 "Lz.Fa.73.06_19_18" 597 443 1004.41 1043.28 56.8579898992623 496.649403527316 1022.85576666667 1022.85576666667 49.8579898992623 503.649403527316 453.791413628054 455.390645927936 454.172728740451 299.693793820722 300.197997980999 299.945895900861 1004.41 1043.28 1023.845 330.159428033301 330.582153533735 330.370790783518 1004.138 1043.038 1023.588 1 0 NA 1 3
"58" "c10.l27" 27 10 "Lz.Fa.73.06_19_18" 620 500 1043.28 1082.151 57.7134484807351 488.954590849034 1061.88643333333 1061.88643333333 50.7134484807351 495.954590849034 445.241142368299 454.172728740451 471.219116178196 300.197997980999 305.960719217114 303.079358599057 1043.28 1082.151 1062.7155 330.582153533735 337.485278089436 334.033715811585 1043.038 1081.937 1062.4875 1 0 NA 1 2
"59" "c10.l28" 28 10 "Lz.Fa.73.06_19_18" 642 541 1082.151 1121.022 53.2247423796923 510.116110178849 1091.41021821248 1088.31079881276 46.2247423796923 517.116110178849 470.901567918791 471.219116178196 471.181725864619 305.960719217114 305.94010967627 305.950414446692 1082.151 1121.022 1101.5865 337.485278089436 337.462167136613 337.473722613024 1081.937 1120.837 1101.387 0 0 NA 0 0
"60" "c10.l29" 29 10 "Lz.Fa.73.06_19_18" 683 596 1121.022 1159.892 54.9346789619622 498.893952693972 1139.94786666667 1139.94786666667 47.9346789619622 505.893952693972 457.95927373201 471.181725864619 479.264977503203 305.94010967627 300.242273431084 303.091191553677 1121.022 1159.892 1140.457 337.462167136613 332.305100426048 334.883633781331 1120.837 1159.737 1140.287 0 1 639 1 0
"61" "c10.l3" 3 10 "Lz.Fa.73.06_19_18" 60 12 110.385 149.255 156.359079990701 640.39664709955 78.4470424036791 78.4470424036791 149.359079990701 647.39664709955 498.037567108849 500.566153014303 512.405655576519 425.271143532185 419.185240926012 422.228192229099 110.385 149.255 129.82 458.759019168842 453.465179284082 456.112099226462 109.443 148.343 128.893 0 1 36 1 0
"62" "c10.l30" 30 10 "Lz.Fa.73.06_19_18" 725 638 1159.892 1198.763 43.0714178313183 508.085523715629 1173.49070425187 1173.49070425187 36.0714178313183 515.085523715629 479.014105884311 479.264977503203 479.232640245993 300.242273431084 300.22444913491 300.233361282997 1159.892 1198.763 1179.3275 332.305100426048 332.285112767367 332.295106596707 1159.737 1198.637 1179.187 0 0 NA 0 0
"63" "c10.l31" 31 10 "Lz.Fa.73.06_19_18" 725 638 1198.763 1237.633 43.0714178313183 508.085523715629 1218.00933333333 1218.00933333333 36.0714178313183 515.085523715629 479.014105884311 479.232640245993 496.510270283101 300.22444913491 292.433569704554 296.329009419732 1198.763 1237.633 1218.198 332.285112767367 325.650106786493 328.96760977693 1198.637 1237.537 1218.087 1 0 NA 1 3
