"idSector" "layer" "cFile" "idD" "xLeftC" "xRightC" "yInfL" "ySupL" "xLeftL" "xRightL" "yLeftL" "yRightL" "xLeftLed" "xRightLed" "xLengthL" "xLengthInfL" "xLengthSupL" "xLeftInfP" "xLeftSupP" "xLeftEdgeS" "yLeftInfS" "yLeftSupS" "yLeftEdgeS" "xRightInfS" "xRightSupS" "xRightEdgeS" "yRightInfS" "yRightSupS" "yRightEdgeS" "APF" "vessel" "idVessel" "nbcell" "Vorigin" "cLdif" "laydif" "circle"
"79" "c11.l11" 11 11 "Lz.Fa.73.06_19_18" 129 57 420.641 459.541 162.130189499412 659.099850675409 437.394866666667 437.394866666667 155.130189499412 666.099850675409 510.969661175997 512.177232159253 512.107375782963 471.706936697046 471.663758470862 471.685347583954 420.641 459.541 440.091 514.063993796616 514.015038448113 514.039516122364 402.776 442.314 422.545 1 1 110 1 NA 3 0 3
"80" "c11.l12" 12 11 "Lz.Fa.73.06_19_18" 136 57 459.541 498.441 167.687728536958 659.099850675409 476.425666666667 476.425666666667 160.687728536958 666.099850675409 505.412122138451 512.107375782963 520.99805177999 471.663758470862 468.182065334809 469.922911902835 459.541 498.441 478.991 514.015038448113 511.268604217014 512.641821332563 442.314 481.852 462.083 1 1 110 1 NA 3 -1 3
"81" "c11.l13" 13 11 "Lz.Fa.73.06_19_18" 150 57 498.441 537.341 153.153169529597 659.099850675409 515.456466666667 515.456466666667 146.153169529597 666.099850675409 519.946681145812 520.99805177999 534.482144914978 468.182065334809 462.942797240226 465.562431287517 498.441 537.341 517.891 511.268604217014 507.144470624694 509.206537420854 481.852 521.39 501.621 0 1 110 0 NA 3 -2 3
"114" "c11.l9" 9 11 "Lz.Fa.73.06_19_18" 117 57 342.842 381.741 165.657142073738 659.099850675409 359.333466666667 359.333466666667 158.657142073738 666.099850675409 507.442708601671 528.526789282866 508.731151364845 465.567514017115 473.103866732348 469.335690374732 342.842 381.741 362.2915 509.276679490808 515.175932950221 512.226306220515 323.701 363.239 343.47 1 1 110 2 NA 3 2 3
"116" "c12.l10" 10 12 "Lz.Fa.73.06_19_18" 122 57 363.239 402.776 167.794219598338 659.099850675409 398.3641 398.3641 160.794219598338 666.099850675409 505.305631077071 508.731151364845 512.177232159253 515.175932950221 514.063993796616 514.619963373419 363.239 402.776 383.0075 557.400618513503 556.574704065834 556.987661289669 355.299 395.059 375.179 0 1 110 0 NA 2 1 2
"117" "c12.l11" 11 12 "Lz.Fa.73.06_19_18" 129 57 402.776 442.314 162.130189499412 659.099850675409 437.394866666667 437.394866666667 155.130189499412 666.099850675409 510.969661175997 512.177232159253 512.107375782963 514.063993796616 514.015038448113 514.039516122364 402.776 442.314 422.545 556.574704065834 556.519950638099 556.547327351966 395.059 434.819 414.939 0 1 110 0 NA 2 0 2
"118" "c12.l12" 12 12 "Lz.Fa.73.06_19_18" 136 57 442.314 481.852 167.687728536958 659.099850675409 476.425666666667 476.425666666667 160.687728536958 666.099850675409 505.412122138451 512.107375782963 520.99805177999 514.015038448113 511.268604217014 512.641821332563 442.314 481.852 462.083 556.519950638099 554.511442514753 555.515696576426 434.819 474.579 454.699 0 1 110 0 NA 2 -1 2
"119" "c12.l13" 13 12 "Lz.Fa.73.06_19_18" 150 57 481.852 521.39 153.153169529597 659.099850675409 515.456466666667 515.456466666667 146.153169529597 666.099850675409 519.946681145812 520.99805177999 534.482144914978 511.268604217014 507.144470624694 509.206537420854 481.852 521.39 501.621 554.511442514753 551.506488652638 553.008965583695 474.579 514.339 494.459 0 1 110 0 NA 2 -2 2
"120" "c12.l14" 14 12 "Lz.Fa.73.06_19_18" 168 57 521.39 560.928 139.579383468278 659.099850675409 554.487133333333 554.487133333333 132.579383468278 666.099850675409 533.520467207131 534.482144914978 574.329871688715 507.144470624694 495.09834746454 501.121409044617 521.39 560.928 541.159 551.506488652638 542.767726814704 547.137107733671 514.339 554.099 534.219 0 1 110 0 NA 2 -3 3
"121" "c12.l15" 15 12 "Lz.Fa.73.06_19_18" 209 57 560.928 600.465 99.6079733850891 659.099850675409 593.5177 593.5177 92.6079733850891 666.099850675409 573.49187729032 574.329871688715 604.054248364721 495.09834746454 486.111301220406 490.604824342473 560.928 600.465 580.6965 542.767726814704 536.247803834677 539.50776532469 554.099 593.859 573.979 1 1 110 2 NA 2 -4 4
"150" "c12.l7" 7 12 "Lz.Fa.73.06_19_18" 105 57 244.625 284.163 142.358545219321 659.099850675409 303.953926018212 248.912363762599 135.358545219321 666.099850675409 533.587768687374 533.366220364354 532.117983929535 507.965483988237 508.266828357139 508.116156172688 244.625 284.163 264.394 552.234880278479 552.43262102329 552.333750650884 236.019 275.779 255.899 1 1 110 2 NA 2 4 4
"151" "c12.l8" 8 12 "Lz.Fa.73.06_19_18" 111 57 284.163 323.701 145.885105561376 659.099850675409 320.302866666667 320.302866666667 138.885105561376 666.099850675409 527.214745114033 532.117983929535 528.526789282866 508.266828357139 509.276679490808 508.771753923974 284.163 323.701 303.932 552.43262102329 553.144403001286 552.788512012288 275.779 315.539 295.659 1 1 110 1 NA 2 3 3
"152" "c12.l9" 9 12 "Lz.Fa.73.06_19_18" 117 57 323.701 363.239 165.657142073738 659.099850675409 359.333466666667 359.333466666667 158.657142073738 666.099850675409 507.442708601671 528.526789282866 508.731151364845 509.276679490808 515.175932950221 512.226306220515 323.701 363.239 343.47 553.144403001286 557.400618513503 555.272510757395 315.539 355.299 335.419 0 1 110 0 NA 2 2 2
